,"('Sex and Age', '10 to 14 years')","('Sex and Age', '45 to 54 years')","('Place of Birth', 'State of residence')","('Residence 1 Year Ago', 'Abroad')","('Occupation', 'Civilian employed population 16 years and over')","('Occupation', 'Management, business, science, and arts occupations')","('Occupation', 'Natural resources, construction, and maintenance occupations')",Civilian employed population 16 years and over,Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services",Private wage and salary workers,"$25,000 to $34,999","$35,000 to $49,999","$150,000 to $199,000","$200,000 or more",Median household income (dollars),Mean household income (dollars),With private health insurance,With public coverage,Civilian noninstitutionalized population under 19 years,Population 25 years and over,High school graduate (includes equivalency),"Some college, no degree",Bachelor's degree,Graduate or professional degree,Percent bachelor's degree or higher,Asian,value_price
38,6.063086327,13.89686771,54.16104276,0.888903142,51.07086684,22.78757237,3.24843553,51.07086684,0.66524814,4.182794739,5.721329213,40.62405881,1.682432206,2.581653597,3.628258614,4.690619876,13.44593238,16.56092786,69.04609189,31.78438765,22.13138755,70.28944081,12.70538891,14.0966792,19.98226377,10.27976396,4310,32.71303,685300
39,8.873722997,13.07480857,56.5883168,0.288015376,45.70868264,7.845136563,5.40720234,45.70868264,0.370006174,1.851567323,4.310732554,37.94693366,2.661139155,3.869351085,1.224554219,0.599217246,7.231672193,9.212301693,35.69658656,51.24536619,29.87174795,60.44635399,15.19148413,10.12355888,4.53728975,1.543438362,1010,1.899616445,500800
40,8.460708334,12.30629996,62.51418867,0.504246116,45.30918918,11.69909459,5.687799583,45.30918918,0.438275928,1.779796852,4.534783067,36.23886038,1.510704584,3.090430001,1.871697518,1.420710571,8.895679398,10.89270756,53.59296013,40.49870411,28.77266216,60.67261627,17.40151185,14.13884754,6.71370591,3.954016618,1760,6.690190525,378800
41,7.693543129,13.29182142,65.29452914,0.453030235,44.87985419,16.68014971,4.41323781,44.87985419,0.696914683,2.667144125,4.15376855,34.13418641,1.686133801,2.404700665,3.306121381,3.432703358,10.78457032,13.58995529,68.52938867,31.60361758,27.86195426,65.00365232,16.760929,17.38836635,11.41355426,5.827053804,2650,9.521129911,455800
42,6.624987301,12.97474107,53.5034461,0.71902921,50.44860793,17.03199606,3.957400961,50.44860793,1.52574817,2.753003641,6.357239484,39.68348813,2.583372099,4.037337654,2.709158767,2.813424017,8.912005475,12.1967619,54.65891896,41.8911043,24.63320019,67.97225475,15.17701031,13.30932559,14.13368944,6.076124327,2970,11.99812323,608300
43,7.541902557,12.39353543,58.35220459,0.219482946,45.94835039,9.758763979,4.704660178,45.94835039,0.588309117,1.698692027,4.934183005,37.24042725,2.760548847,3.240789804,1.548791031,1.304347826,8.231307694,10.64115793,43.38316089,47.51666341,26.61209806,64.14730736,16.0546058,13.21039128,7.247678278,2.287977243,1490,5.971637337,471900
44,5.943807176,14.20844649,49.23348721,1.384916929,51.37436482,29.45706555,1.815721,51.37436482,1.330829472,5.799363335,8.819667615,40.64040561,1.407032128,2.05873544,5.011683144,8.027943501,14.58680595,18.33552168,79.11427997,24.86443383,22.5758267,69.48633344,7.987883399,12.71080523,23.48545641,15.81034511,5660,26.23115311,794400
45,6.632400963,12.92491265,54.15156312,0.396787046,51.21506675,14.31305477,5.920362186,51.21506675,0.965628577,2.517658044,6.569105603,42.78249128,1.996458182,2.903963923,2.204448098,1.791599004,9.773348161,12.39922085,52.99822637,38.35031872,25.34672926,65.1351458,16.21436573,12.6345707,9.428966952,4.325455216,2110,13.81009486,586500
46,6.715357152,13.30752487,56.48709437,0.415555314,50.48997065,20.42770703,3.740555244,50.48997065,0.913469176,2.786115826,6.421319019,39.14386129,2.489569311,3.385897875,2.977728353,3.703626285,10.10223051,13.52798379,60.57241281,37.24571276,22.35651357,69.91655449,14.05418663,14.66246931,16.4144349,7.460486013,3410,23.44919272,640300
47,5.709123154,13.77584188,54.25337471,0.553205292,51.83522445,24.01194946,3.193806996,51.83522445,0.939502394,5.44226494,7.695595099,41.64602935,1.869677974,3.066572563,4.174792826,7.396162643,14.00469682,19.76031483,70.48898949,33.0546426,21.0380882,72.57137448,11.56608325,14.8830877,20.49226083,11.86871745,4460,19.57642349,840200
48,6.644005874,12.89039961,51.25149378,0.868101607,47.7896156,22.14458971,3.140971825,47.7896156,0.91472669,3.505905388,7.824810013,37.80583183,2.096214481,3.181033846,3.759813828,6.982003539,13.67810371,19.3521438,70.20711928,29.64001608,23.43272725,68.48636661,9.968196498,13.62929094,19.23906772,13.06322689,4720,6.869747842,748200
49,6.964790237,11.85358416,55.68706126,0.265121837,46.32931562,17.04641083,5.225933928,46.32931562,0.759356427,2.543059216,6.009296411,36.27921946,2.206314912,3.3451517,3.211139866,3.506994732,10.33394799,13.380343,66.44230237,35.85832206,25.3410311,67.02873604,15.04269649,17.22909429,13.32863764,7.35192088,3090,5.94189479,551200
50,7.160126188,11.47777326,54.74698197,0.643496126,41.35518907,9.577522587,5.040382183,41.35518907,0.524705149,1.735428194,4.533630671,31.31937629,2.831139975,4.217079713,1.27808293,0.828162101,7.083047043,9.256381978,45.93161149,44.72331826,26.14562424,64.48757217,17.48495202,14.69997854,7.230320857,2.908084131,1570,7.671872321,385300
51,5.395939,12.67390644,42.62185671,1.261941912,51.980249,31.61163839,1.704358073,51.980249,1.809943544,4.06073902,10.46312916,40.35998128,1.41015263,2.650847095,4.617474265,7.801332463,13.88566267,18.07584165,77.63856138,24.71091089,20.70987328,70.34690693,7.028733587,12.52478326,24.5667411,18.34084815,6100,20.71547844,775300
52,5.266298577,11.89076398,52.93771139,0.872477476,51.63793974,23.83187303,3.068876909,51.63793974,1.226170746,3.237417886,8.243302125,39.30557029,2.120115155,3.210073103,3.447487155,3.528882608,10.48851327,13.4538889,68.89569243,31.94739579,20.8238191,70.49344556,12.49068808,16.13137763,18.30132673,10.25365481,4050,15.12767075,583900
